Indicator,Disaggregations,Number of disaggregations
# 11-5-1,Región,1
# 12-5-1,Región,1
# 13-1-1,Región,1
#1-2-1,"Serie, Región",2
#1-2-2,"Serie, Región",2
#1-4-1,"Serie, Región",2
#1-5-1,"Serie, Región",2
#1-a-2,"Serie, Región",2
#10-1-1,"Serie, Región",2
#10-2-1,"Serie, Región",2
#10-4-1,"Serie, Región",2
#11-1-1,"Serie, Región",2
#11-2-1,"Serie, Región",2
#11-5-1,"Serie, Región",2
#11-6-1,"Serie, Región",2
#12-5-1,"Serie, Región",2
#13-1-1,"Serie, Región",2
#13-2-2,"Serie, Región",2
#15-1-1,"Serie, Región",2
#15-2-1,"Serie, Región",2
#16-1-4,"Serie, Región",2
#16-3-2,"Serie, Región",2
#17-1-1,"Serie, Región",2
#17-1-2,"Serie, Región",2
#17-19-2a,"Serie, Región",2
#17-3-1,"Serie, Región",2
#17-3-2,"Serie, Región",2
#17-8-1,"Serie, Región",2
#2-2-2,"Serie, Región",2
#2-4-1,"Serie, Región",2
#3-1-1,"Serie, Región",2
#3-1-2,"Serie, Región",2
#3-2-1,"Serie, Región",2
#3-2-2,"Serie, Región",2
#3-4-1,"Serie, Región",2
#3-4-2,"Serie, Región",2
#3-6-1,"Serie, Región",2
#3-7-1,"Serie, Región",2
#3-7-2,"Serie, Región",2
#3-8-1,"Serie, Región",2
#3-8-2,"Serie, Región",2
#3-9-3,"Serie, Región",2
#3-a-1,"Serie, Región",2
#3-b-1,"Serie, Región",2
#3-c-1,"Serie, Región",2
#4-2-2,"Serie, Región",2
#4-3-1,"Serie, Región",2
#4-4-1,"Serie, Región",2
#4-5-1,"Serie, Región",2
#4-6-1,"Serie, Región",2
#4-c-1,"Serie, Región",2
#5-3-1,"Serie, Región",2
#5-4-1,"Serie, Región",2
#5-5-2,"Serie, Región",2
#5-a-1a,"Serie, Región",2
#5-a-1b,"Serie, Región",2
#5-b-1,"Serie, Región",2
#6-1-1,"Serie, Región",2
#6-b-1,"Serie, Región",2
#7-2-1,"Serie, Región",2
#7-3-1,"Serie, Región",2
#8-1-1,"Serie, Región",2
#8-10-2,"Serie, Región",2
#8-2-1,"Serie, Región",2
#8-5-1,"Serie, Región",2
#8-5-2,"Serie, Región",2
#8-6-1,"Serie, Región",2
#8-9-1,"Serie, Región",2
#8-b-1,"Serie, Región",2
#9-2-1,"Serie, Región",2
#9-2-2,"Serie, Región",2
#9-3-1,"Serie, Región",2
#9-4-1,"Serie, Región",2
#9-5-1,"Serie, Región",2
#9-5-2,"Serie, Región",2
