Year,Serie,RefArea,Value
2017,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.84
2018,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,95.55
2019,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.75
2020,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.31
2021,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,93.39
2022,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,95.25
2023,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,92.85
2017,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,88.46
2018,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,94.79
2019,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,94.42
2020,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,93.71
2021,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,93.24
2022,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,94.88
2023,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,92.26
2017,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,93.14
2018,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,94.45
2019,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,94.26
2020,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,93.93
2021,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,91.91
2022,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,93.92
2023,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,91.81
2017,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,77.78
2018,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,79.41
2019,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,80.21
2020,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,81.79
2021,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,81.83
2022,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,83.73
