Year,Serie,RefArea,Value
2012,"Proporción de hogares cubiertos con redes móviles 3,5G",España,96.4
2013,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.0
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",España,98.9
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.65
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.72
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.9
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.9
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.91
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.97
2014,Proporción de hogares cubiertos con redes móviles 4G,España,47.8
2015,Proporción de hogares cubiertos con redes móviles 4G,España,76.35
2016,Proporción de hogares cubiertos con redes móviles 4G,España,94.42
2017,Proporción de hogares cubiertos con redes móviles 4G,España,97.22
2018,Proporción de hogares cubiertos con redes móviles 4G,España,99.53
2019,Proporción de hogares cubiertos con redes móviles 4G,España,99.77
2020,Proporción de hogares cubiertos con redes móviles 4G,España,99.87
2021,Proporción de hogares cubiertos con redes móviles 4G,España,99.91
2022,Proporción de hogares cubiertos con redes móviles 4G,España,99.89
2023,Proporción de hogares cubiertos con redes móviles 4G,España,99.84
