Year,Serie,RefArea,Value
2010,,España,0.0
2010,,España,0.0
2010,,España,0.0
2010,,España,0.0
2010,,España,0.0
2010,,España,0.0
2010,,España,4.3
2010,,España,100.0
2010,,España,100.0
2010,,España,100.0
2010,,España,100.0
2010,,España,1.07
2010,,España,0.62
2010,,España,0.16
2010,,España,0.25
2010,,España,1.28
2010,,España,1.34
2010,,España,1.45
2010,,España,1.37
2010,,España,1.43
2010,,España,0.86
2010,,España,0.95
2011,,España,0.0
2011,,España,0.0
2011,,España,0.0
2011,,España,0.0
2011,,España,0.0
2011,,España,0.0
2011,,España,3.5
2011,,España,100.0
2011,,España,100.0
2011,,España,100.0
2011,,España,80.6
2011,,España,100.0
2011,,España,1.07
2011,,España,0.61
2011,,España,0.17
2011,,España,0.25
2011,,España,1.3
2011,,España,1.34
2011,,España,1.46
2011,,España,1.38
2011,,España,1.43
2011,,España,0.87
2011,,España,0.95
2012,,España,0.0
2012,,España,0.0
2012,,España,0.0
2012,,España,0.0
2012,,España,0.0
2012,,España,0.0
2012,,España,3.2
2012,,España,100.0
2012,,España,100.0
2012,,España,100.0
2012,,España,86.7
2012,,España,100.0
2012,,España,1.08
2012,,España,0.61
2012,,España,0.18
2012,,España,0.25
2012,,España,1.29
2012,,España,1.36
2012,,España,1.45
2012,,España,1.39
2012,,España,1.46
2012,,España,0.92
2012,,España,0.95
2013,,España,0.0
2013,,España,0.0
2013,,España,0.0
2013,,España,0.0
2013,,España,0.0
2013,,España,0.0
2013,,España,3.1
2013,,España,100.0
2013,,España,100.0
2013,,España,100.0
2013,,España,89.8
2013,,España,100.0
2013,,España,1.08
2013,,España,0.61
2013,,España,0.19
2013,,España,0.25
2013,,España,1.3
2013,,España,1.36
2013,,España,1.44
2013,,España,1.4
2013,,España,1.46
2013,,España,0.92
2013,,España,0.93
2014,,España,0.0
2014,,España,0.0
2014,,España,0.0
2014,,España,0.0
2014,,España,0.0
2014,,España,0.0
2014,,España,3.0
2014,,España,100.0
2014,,España,100.0
2014,,España,100.0
2014,,España,91.5
2014,,España,100.0
2014,,España,1.08
2014,,España,0.61
2014,,España,0.19
2014,,España,0.25
2014,,España,1.29
2014,,España,1.36
2014,,España,1.44
2014,,España,1.4
2014,,España,1.47
2014,,España,0.93
2014,,España,0.93
2015,,España,101.93
2015,,España,59.19
2015,,España,173.75
2015,,España,32.2
2015,,España,93.39
2015,,España,25.96
2015,,España,3.0
2015,,España,100.0
2015,,España,100.0
2015,,España,100.0
2015,,España,92.7
2015,,España,100.0
2015,,España,1.08
2015,,España,0.62
2015,,España,0.19
2015,,España,0.25
2015,,España,1.3
2015,,España,1.37
2015,,España,1.44
2015,,España,1.41
2015,,España,1.48
2015,,España,0.93
2015,,España,0.92
2016,,España,98.25
2016,,España,57.38
2016,,España,167.19
2016,,España,31.53
2016,,España,89.85
2016,,España,25.96
2016,,España,100.0
2016,,España,100.0
2016,,España,100.0
2016,,España,100.0
2016,,España,1.1
2016,,España,0.61
2016,,España,0.2
2016,,España,0.25
2016,,España,1.3
2016,,España,1.37
2016,,España,1.45
2016,,España,1.41
2016,,España,1.48
2016,,España,0.94
2016,,España,0.95
2017,,España,100.57
2017,,España,55.34
2017,,España,171.11
2017,,España,32.43
2017,,España,87.02
2017,,España,24.66
2017,,España,3.0
2017,,España,100.0
2017,,España,100.0
2017,,España,100.0
2017,,España,94.6
2017,,España,100.0
2017,,España,1.11
2017,,España,0.62
2017,,España,0.2
2017,,España,0.25
2017,,España,1.3
2017,,España,1.39
2017,,España,1.45
2017,,España,1.41
2017,,España,1.49
2017,,España,0.94
2017,,España,0.97
2018,,España,102.66
2018,,España,55.2
2018,,España,174.12
2018,,España,33.74
2018,,España,86.51
2018,,España,24.95
2018,,España,100.0
2018,,España,100.0
2018,,España,100.0
2018,,España,100.0
2018,,España,1.12
2018,,España,0.63
2018,,España,0.24
2018,,España,0.26
2018,,España,1.3
2018,,España,1.39
2018,,España,1.45
2018,,España,1.42
2018,,España,1.49
2018,,España,0.95
2018,,España,0.98
2019,,España,106.22
2019,,España,57.76
2019,,España,179.55
2019,,España,35.54
2019,,España,89.3
2019,,España,27.37
2019,,España,2.9
2019,,España,100.0
2019,,España,100.0
2019,,España,100.0
2019,,España,96.8
2019,,España,100.0
2019,,España,1.13
2019,,España,0.63
2019,,España,0.24
2019,,España,0.26
2019,,España,1.32
2019,,España,1.4
2019,,España,1.46
2019,,España,1.42
2019,,España,1.5
2019,,España,0.95
2019,,España,0.99
2020,,España,81.39
2020,,España,42.27
2020,,España,136.16
2020,,España,28.65
2020,,España,64.0
2020,,España,21.32
2020,,España,100.0
2020,,España,100.0
2020,,España,100.0
2020,,España,100.0
2020,,España,1.14
2020,,España,0.62
2020,,España,0.22
2020,,España,0.26
2020,,España,1.33
2020,,España,1.4
2020,,España,1.46
2020,,España,1.42
2020,,España,1.5
2020,,España,0.96
2020,,España,1.01
2020,,España,0.99
2021,,España,0.0
2021,,España,0.0
2021,,España,0.0
2021,,España,0.0
2021,,España,0.0
2021,,España,0.0
2021,,España,2.5
2021,,España,100.0
2021,,España,100.0
2021,,España,100.0
2021,,España,97.4
2021,,España,100.0
2021,,España,1.15
2021,,España,0.62
2021,,España,0.23
2021,,España,0.26
2021,,España,1.34
2021,,España,1.41
2021,,España,1.45
2021,,España,1.43
2021,,España,1.51
2021,,España,0.96
2021,,España,1.02
2021,,España,1.01
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2022,,España,0.0
2010,,Cantabria,76.49
2010,,Cantabria,14.59
2010,,Cantabria,136.07
2010,,Cantabria,19.28
2010,,Cantabria,22.85
2010,,Cantabria,6.65
2010,,Cantabria,4.5
2010,,Cantabria,100.0
2010,,Cantabria,100.0
2010,,Cantabria,100.0
2010,,Cantabria,100.0
2010,,Cantabria,1.12
2010,,Cantabria,0.64
2010,,Cantabria,0.18
2010,,Cantabria,0.32
2010,,Cantabria,1.19
2010,,Cantabria,1.38
2010,,Cantabria,1.5
2010,,Cantabria,1.33
2010,,Cantabria,1.54
2010,,Cantabria,0.82
