Year,Serie,RefArea,Value
2012,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,20.43
2012,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,30.98
2013,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,23.29
2013,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,35.35
2014,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,23.36
2014,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,35.36
2015,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,23.53
2015,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,35.71
2016,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,24.46
2016,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,36.97
2017,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,24.3
2017,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,36.71
2018,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,23.83
2018,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,36.46
2019,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,23.58
2019,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",España,36.44
2012,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,20.17
2012,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,30.03
2013,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,22.28
2013,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,35.46
2014,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,23.81
2014,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,37.68
2015,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,22.89
2015,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,38.72
2016,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,24.43
2016,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,36.65
2017,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,24.18
2017,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,37.16
2018,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,23.76
2018,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,37.11
2019,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,23.55
2019,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",Cantabria,37.02
2010,Proporción del gasto público total que se dedica a educación,Cantabria,12.56
2011,Proporción del gasto público total que se dedica a educación,Cantabria,12.96
2012,Proporción del gasto público total que se dedica a educación,Cantabria,11.47
2013,Proporción del gasto público total que se dedica a educación,Cantabria,11.57
2014,Proporción del gasto público total que se dedica a educación,Cantabria,11.53
2015,Proporción del gasto público total que se dedica a educación,Cantabria,11.43
2016,Proporción del gasto público total que se dedica a educación,Cantabria,12.35
2017,Proporción del gasto público total que se dedica a educación,Cantabria,11.85
2018,Proporción del gasto público total que se dedica a educación,Cantabria,11.78
2019,Proporción del gasto público total que se dedica a educación,Cantabria,11.66
2010,Proporción del gasto público total que se dedica a salud,Cantabria,20.73
2011,Proporción del gasto público total que se dedica a salud,Cantabria,18.62
2012,Proporción del gasto público total que se dedica a salud,Cantabria,24.21
2013,Proporción del gasto público total que se dedica a salud,Cantabria,18.79
2014,Proporción del gasto público total que se dedica a salud,Cantabria,18.65
2015,Proporción del gasto público total que se dedica a salud,Cantabria,19.17
2016,Proporción del gasto público total que se dedica a salud,Cantabria,18.88
2017,Proporción del gasto público total que se dedica a salud,Cantabria,19.68
2018,Proporción del gasto público total que se dedica a salud,Cantabria,20.75
2019,Proporción del gasto público total que se dedica a salud,Cantabria,21.9
2010,Proporción del gasto público total que se dedica a protección social,Cantabria,34.99
2011,Proporción del gasto público total que se dedica a protección social,Cantabria,35.86
2012,Proporción del gasto público total que se dedica a protección social,Cantabria,36.36
2013,Proporción del gasto público total que se dedica a protección social,Cantabria,37.7
2014,Proporción del gasto público total que se dedica a protección social,Cantabria,38.74
2015,Proporción del gasto público total que se dedica a protección social,Cantabria,39.55
2016,Proporción del gasto público total que se dedica a protección social,Cantabria,40.76
2017,Proporción del gasto público total que se dedica a protección social,Cantabria,42.21
2018,Proporción del gasto público total que se dedica a protección social,Cantabria,43.95
2019,Proporción del gasto público total que se dedica a protección social,Cantabria,46.52
