Year,Serie,RefArea,Value
2010,Proporción del PIB generada por el trabajo asalariado,España,49.11
2011,Proporción del PIB generada por el trabajo asalariado,España,48.26
2012,Proporción del PIB generada por el trabajo asalariado,España,46.69
2013,Proporción del PIB generada por el trabajo asalariado,España,45.8
2014,Proporción del PIB generada por el trabajo asalariado,España,45.86
2015,Proporción del PIB generada por el trabajo asalariado,España,45.72
2016,Proporción del PIB generada por el trabajo asalariado,España,45.2
2017,Proporción del PIB generada por el trabajo asalariado,España,45.05
2018,Proporción del PIB generada por el trabajo asalariado,España,45.36
2019,Proporción del PIB generada por el trabajo asalariado,España,46.58
2020,Proporción del PIB generada por el trabajo asalariado,España,50.11
2021,Proporción del PIB generada por el trabajo asalariado,España,49.04
2022,Proporción del PIB generada por el trabajo asalariado,España,47.76
2010,Proporción del PIB generada por el trabajo asalariado,Cantabria,46.78
2011,Proporción del PIB generada por el trabajo asalariado,Cantabria,46.31
2012,Proporción del PIB generada por el trabajo asalariado,Cantabria,44.6
2013,Proporción del PIB generada por el trabajo asalariado,Cantabria,44.44
2014,Proporción del PIB generada por el trabajo asalariado,Cantabria,44.18
2015,Proporción del PIB generada por el trabajo asalariado,Cantabria,44.41
2016,Proporción del PIB generada por el trabajo asalariado,Cantabria,44.04
2017,Proporción del PIB generada por el trabajo asalariado,Cantabria,43.62
2018,Proporción del PIB generada por el trabajo asalariado,Cantabria,43.94
2019,Proporción del PIB generada por el trabajo asalariado,Cantabria,45.21
2020,Proporción del PIB generada por el trabajo asalariado,Cantabria,47.66
2021,Proporción del PIB generada por el trabajo asalariado,Cantabria,46.28
2022,Proporción del PIB generada por el trabajo asalariado,Cantabria,45.19
