Year,Serie,Value
2010,Residuos urbanos recogidos per cápita,604.3
2011,Residuos urbanos recogidos per cápita,578.1
2012,Residuos urbanos recogidos per cápita,542.9
2013,Residuos urbanos recogidos per cápita,523.2
2014,Residuos urbanos recogidos per cápita,516.1
2015,Residuos urbanos recogidos per cápita,532.6
2016,Residuos urbanos recogidos per cápita,538.2
2017,Residuos urbanos recogidos per cápita,535.1
2014,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,44.1
2015,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,42.3
2016,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,42.1
2017,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,42.6
2014,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,19.5
2015,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,19.7
2016,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,23.1
2017,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,22.2
2014,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,36.5
2015,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,38.0
2016,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,34.8
2017,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,35.2
