Year,Serie,RefArea,Value
2010,Índice de precios de los alimentos,España,84.23
2011,Índice de precios de los alimentos,España,85.9
2012,Índice de precios de los alimentos,España,87.88
2013,Índice de precios de los alimentos,España,90.42
2014,Índice de precios de los alimentos,España,90.1
2015,Índice de precios de los alimentos,España,91.18
2016,Índice de precios de los alimentos,España,92.46
2017,Índice de precios de los alimentos,España,93.63
2018,Índice de precios de los alimentos,España,95.13
2019,Índice de precios de los alimentos,España,96.09
2020,Índice de precios de los alimentos,España,98.4
2021,Índice de precios de los alimentos,España,100.0
2022,Índice de precios de los alimentos,España,111.89
2010,Índice de precios de los alimentos,Cantabria,85.01
2011,Índice de precios de los alimentos,Cantabria,86.04
2012,Índice de precios de los alimentos,Cantabria,87.75
2013,Índice de precios de los alimentos,Cantabria,91.39
2014,Índice de precios de los alimentos,Cantabria,90.57
2015,Índice de precios de los alimentos,Cantabria,91.56
2016,Índice de precios de los alimentos,Cantabria,92.89
2017,Índice de precios de los alimentos,Cantabria,93.85
2018,Índice de precios de los alimentos,Cantabria,95.56
2019,Índice de precios de los alimentos,Cantabria,96.0
2020,Índice de precios de los alimentos,Cantabria,98.27
2021,Índice de precios de los alimentos,Cantabria,100.0
2022,Índice de precios de los alimentos,Cantabria,111.46
2011,Índice de precios del pan y los cereales,España,93.75
2012,Índice de precios del pan y los cereales,España,95.69
2013,Índice de precios del pan y los cereales,España,96.91
2014,Índice de precios del pan y los cereales,España,96.44
2015,Índice de precios del pan y los cereales,España,96.58
2016,Índice de precios del pan y los cereales,España,96.83
2017,Índice de precios del pan y los cereales,España,96.44
2018,Índice de precios del pan y los cereales,España,97.17
2019,Índice de precios del pan y los cereales,España,98.31
2020,Índice de precios del pan y los cereales,España,99.27
2021,Índice de precios del pan y los cereales,España,100.0
2022,Índice de precios del pan y los cereales,España,114.86
2011,Índice de precios del pan y los cereales,Cantabria,91.4
2012,Índice de precios del pan y los cereales,Cantabria,93.72
2013,Índice de precios del pan y los cereales,Cantabria,96.61
2014,Índice de precios del pan y los cereales,Cantabria,94.74
2015,Índice de precios del pan y los cereales,Cantabria,94.5
2016,Índice de precios del pan y los cereales,Cantabria,95.01
2017,Índice de precios del pan y los cereales,Cantabria,93.84
2018,Índice de precios del pan y los cereales,Cantabria,95.0
2019,Índice de precios del pan y los cereales,Cantabria,97.74
2020,Índice de precios del pan y los cereales,Cantabria,99.43
2021,Índice de precios del pan y los cereales,Cantabria,100.0
2022,Índice de precios del pan y los cereales,Cantabria,114.68
