Year,Serie,Value
2010,Valor añadido del sector manufacturero per cápita,3413.7
2011,Valor añadido del sector manufacturero per cápita,3500.8
2012,Valor añadido del sector manufacturero per cápita,3379.4
2013,Valor añadido del sector manufacturero per cápita,3084.0
2014,Valor añadido del sector manufacturero per cápita,3334.4
2015,Valor añadido del sector manufacturero per cápita,3245.3
2016,Valor añadido del sector manufacturero per cápita,3321.9
2017,Valor añadido del sector manufacturero per cápita,3700.2
2018,Valor añadido del sector manufacturero per cápita,3925.4
2019,Valor añadido del sector manufacturero per cápita,3871.8
2010,Valor añadido del sector manufacturero en proporción al PIB,15.7
2011,Valor añadido del sector manufacturero en proporción al PIB,16.4
2012,Valor añadido del sector manufacturero en proporción al PIB,16.4
2013,Valor añadido del sector manufacturero en proporción al PIB,15.3
2014,Valor añadido del sector manufacturero en proporción al PIB,16.2
2015,Valor añadido del sector manufacturero en proporción al PIB,15.4
2016,Valor añadido del sector manufacturero en proporción al PIB,15.2
2017,Valor añadido del sector manufacturero en proporción al PIB,16.3
2018,Valor añadido del sector manufacturero en proporción al PIB,16.5
2019,Valor añadido del sector manufacturero en proporción al PIB,15.8
