Year,Serie,Región,Value
2012,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,20.43
2013,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.29
2014,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.36
2015,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.53
2016,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,24.46
2017,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,24.3
2018,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.83
2019,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.64
2020,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.05
2021,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,22.51
2022,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,22.14
2012,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,30.98
2013,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,35.35
2014,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,35.36
2015,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,35.71
2016,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.97
2017,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.71
2018,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.46
2019,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.43
2020,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,38.46
2021,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.86
2022,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.16
