Year,Serie,Región,Value
2010,Índice de precios de los alimentos,España,84.23
2011,Índice de precios de los alimentos,España,85.9
2012,Índice de precios de los alimentos,España,87.88
2013,Índice de precios de los alimentos,España,90.42
2014,Índice de precios de los alimentos,España,90.1
2015,Índice de precios de los alimentos,España,91.18
2016,Índice de precios de los alimentos,España,92.46
2017,Índice de precios de los alimentos,España,93.63
2018,Índice de precios de los alimentos,España,95.13
2019,Índice de precios de los alimentos,España,96.09
2020,Índice de precios de los alimentos,España,98.4
2021,Índice de precios de los alimentos,España,100.0
2022,Índice de precios de los alimentos,España,111.89
2023,Índice de precios de los alimentos,España,124.89
2010,Índice de precios del pan y los cereales,España,91.92
2011,Índice de precios del pan y los cereales,España,93.75
2012,Índice de precios del pan y los cereales,España,95.69
2013,Índice de precios del pan y los cereales,España,96.91
2014,Índice de precios del pan y los cereales,España,96.44
2015,Índice de precios del pan y los cereales,España,96.58
2016,Índice de precios del pan y los cereales,España,96.83
2017,Índice de precios del pan y los cereales,España,96.44
2018,Índice de precios del pan y los cereales,España,97.17
2019,Índice de precios del pan y los cereales,España,98.31
2020,Índice de precios del pan y los cereales,España,99.27
2021,Índice de precios del pan y los cereales,España,100.0
2022,Índice de precios del pan y los cereales,España,114.86
2023,Índice de precios del pan y los cereales,España,127.41
