Year,Serie,Región,Value
2010,Gastos en investigación y desarrollo en proporción al PIB,España,1.36
2011,Gastos en investigación y desarrollo en proporción al PIB,España,1.33
2012,Gastos en investigación y desarrollo en proporción al PIB,España,1.3
2013,Gastos en investigación y desarrollo en proporción al PIB,España,1.27
2014,Gastos en investigación y desarrollo en proporción al PIB,España,1.24
2015,Gastos en investigación y desarrollo en proporción al PIB,España,1.22
2016,Gastos en investigación y desarrollo en proporción al PIB,España,1.19
2017,Gastos en investigación y desarrollo en proporción al PIB,España,1.21
2018,Gastos en investigación y desarrollo en proporción al PIB,España,1.24
2019,Gastos en investigación y desarrollo en proporción al PIB,España,1.25
2020,Gastos en investigación y desarrollo en proporción al PIB,España,1.41
2021,Gastos en investigación y desarrollo en proporción al PIB,España,1.41
2022,Gastos en investigación y desarrollo en proporción al PIB,España,1.44
2023,Gastos en investigación y desarrollo en proporción al PIB,España,
