Year,Serie,Región,Value
2010,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2011,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2012,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2013,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2014,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2015,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2016,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2017,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2018,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2019,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2020,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2021,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2022,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,España,1.0
2010,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2011,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2012,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2013,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2014,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2015,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2016,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2017,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2018,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2019,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2020,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2021,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2022,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
2023,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,Cantabria,1.0
