Year,Serie,Región,Value
2010,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2011,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2012,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2013,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2014,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2015,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2016,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2017,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2018,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2019,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2020,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2021,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2022,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.0
2010,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2011,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2012,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2013,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2014,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2015,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2016,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2017,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2018,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2019,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2020,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2021,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2022,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
2023,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.0
