Year,Serie,Región,Value
2013,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.6
2014,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.57
2015,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.58
2016,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.6
2017,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.62
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.64
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.64
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.68
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.68
2020,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.73
2013,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.46
2014,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.42
2015,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.43
2016,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.44
2017,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.45
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.46
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.48
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.49
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.48
2020,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,63.68
2013,Volumen de remesas enviadas al extranjero,España,6161.0
2014,Volumen de remesas enviadas al extranjero,España,5924.0
2015,Volumen de remesas enviadas al extranjero,España,6256.0
2016,Volumen de remesas enviadas al extranjero,España,6673.0
2017,Volumen de remesas enviadas al extranjero,España,7242.0
2018,Volumen de remesas enviadas al extranjero,España,7733.0
2018,Volumen de remesas enviadas al extranjero,España,7733.0
2019,Volumen de remesas enviadas al extranjero,España,8480.0
2020,Volumen de remesas enviadas al extranjero,España,8169.0
2013,Volumen de remesas enviadas al extranjero,Cantabria,54.41
2014,Volumen de remesas enviadas al extranjero,Cantabria,51.15
2015,Volumen de remesas enviadas al extranjero,Cantabria,53.28
2016,Volumen de remesas enviadas al extranjero,Cantabria,55.63
2017,Volumen de remesas enviadas al extranjero,Cantabria,59.44
2018,Volumen de remesas enviadas al extranjero,Cantabria,63.03
2018,Volumen de remesas enviadas al extranjero,Cantabria,68.38
2019,Volumen de remesas enviadas al extranjero,Cantabria,63.68
2020,Volumen de remesas enviadas al extranjero,Cantabria,68.89
