Year,Serie,Región,Value
2010,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,47.89
2011,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,48.36
2012,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,49.01
2013,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,50.07
2014,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,51.32
2015,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,52.31
2016,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,53.33
2017,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,54.41
2018,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,55.54
2019,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,56.64
2020,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,58.27
2021,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,59.77
2010,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,54.07
2011,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,54.2
2012,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,54.96
2013,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,56.14
2014,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,57.35
2015,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,58.75
2016,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,60.31
2017,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,61.09
2018,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,63.18
2019,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,63.57
2020,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,63.57
2021,Número de personas colegiadas en medicina por cada 10.000 habitantes,Cantabria,66.46
2010,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.34
2011,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.31
2012,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.63
2013,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.11
2014,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,59.03
2015,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,61.1
2016,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,62.65
2017,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,64.28
2018,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,65.59
2019,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,66.8
2020,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,68.57
2021,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,69.65
2010,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,68.1
2011,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,67.78
2012,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,68.67
2013,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,70.26
2014,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,71.19
2015,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,73.6
2016,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,76.24
2017,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,78.55
2018,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,81.24
2019,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,84.15
2020,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,84.15
2021,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Cantabria,88.37
2010,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,5.96
2011,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.21
