Year,Serie,Región,Value
2013,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",España,43.74
2016,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",España,44.88
2013,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",Cantabria,51.07
2016,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",Cantabria,53.66
2013,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",España,45.03
2016,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",España,44.08
2013,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",Cantabria,47.03
2016,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",Cantabria,47.47
2013,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",España,41.31
2016,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",España,46.64
2013,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",Cantabria,57.21
2016,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",Cantabria,64.14
