Year,Serie,Región,Value
2010,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,92.3
2011,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,92.79
2012,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,94.38
2013,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,94.18
2014,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,95.01
2015,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,95.45
2017,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,96.16
2019,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,96.92
2020,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,98.89
2021,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,99.17
2010,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,90.51
2011,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,92.32
2012,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,93.44
2013,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,91.57
2014,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,94.8
2015,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,96.24
2017,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,95.53
2019,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,96.02
2020,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,97.61
2021,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,98.38
2010,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,92.18
2011,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,92.19
2012,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,94.1
2013,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,94.35
2014,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,95.33
2015,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,95.52
2017,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,96.11
2019,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,97.12
2020,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,98.91
2021,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,99.23
2010,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,88.22
2011,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,91.29
2012,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,92.79
2013,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,93.37
2014,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,94.62
2015,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,95.85
2017,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,96.55
2019,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,95.72
2020,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,97.78
2021,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,98.63
2010,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,92.41
2011,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,93.38
2012,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,94.65
2013,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,94.01
2014,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,94.68
2015,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,95.38
2017,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,96.21
2019,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,96.73
2020,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,98.86
2021,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",España,99.12
2010,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,92.82
2011,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,93.36
2012,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,94.11
2013,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,89.77
2014,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,94.98
2015,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,96.63
2017,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,94.51
2019,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,96.32
2020,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,97.45
2021,"Proporción de personas que poseen un teléfono móvil, desglosada por sexo",Cantabria,98.13
