Year,Serie,Value
2010,Tasa de crecimiento anual del PIB real per cápita,-0.7
2011,Tasa de crecimiento anual del PIB real per cápita,-2.7
2012,Tasa de crecimiento anual del PIB real per cápita,-2.4
2013,Tasa de crecimiento anual del PIB real per cápita,-2.7
2014,Tasa de crecimiento anual del PIB real per cápita,1.8
2015,Tasa de crecimiento anual del PIB real per cápita,2.8
2016,Tasa de crecimiento anual del PIB real per cápita,3.0
2017,Tasa de crecimiento anual del PIB real per cápita,2.8
2018,Tasa de crecimiento anual del PIB real per cápita,2.8
2019,Tasa de crecimiento anual del PIB real per cápita,1.4
