Year,Serie,Value
2010,Ingreso medio por hora de trabajo,13.49
2011,Ingreso medio por hora de trabajo,13.23
2012,Ingreso medio por hora de trabajo,13.0
2013,Ingreso medio por hora de trabajo,12.91
2014,Ingreso medio por hora de trabajo,13.75
2015,Ingreso medio por hora de trabajo,14.05
2016,Ingreso medio por hora de trabajo,13.98
2017,Ingreso medio por hora de trabajo,14.25
2018,Ingreso medio por hora de trabajo,14.42
2010,Ingreso medio por hora de trabajo de las mujeres,12.1
2011,Ingreso medio por hora de trabajo de las mujeres,11.61
2012,Ingreso medio por hora de trabajo de las mujeres,11.43
2013,Ingreso medio por hora de trabajo de las mujeres,11.19
2014,Ingreso medio por hora de trabajo de las mujeres,12.24
2015,Ingreso medio por hora de trabajo de las mujeres,12.26
2016,Ingreso medio por hora de trabajo de las mujeres,12.21
2017,Ingreso medio por hora de trabajo de las mujeres,12.9
2018,Ingreso medio por hora de trabajo de las mujeres,13.17
2010,Ingreso medio por hora de trabajo de los hombres,14.55
2011,Ingreso medio por hora de trabajo de los hombres,14.52
2012,Ingreso medio por hora de trabajo de los hombres,14.29
2013,Ingreso medio por hora de trabajo de los hombres,14.33
2014,Ingreso medio por hora de trabajo de los hombres,15.05
2015,Ingreso medio por hora de trabajo de los hombres,15.44
2016,Ingreso medio por hora de trabajo de los hombres,15.3
2017,Ingreso medio por hora de trabajo de los hombres,15.27
2018,Ingreso medio por hora de trabajo de los hombres,15.51
