Year,Serie,Región,Value
2010,Emisiones de CO2 por unidad de valor añadido,España,0.27
2011,Emisiones de CO2 por unidad de valor añadido,España,0.27
2012,Emisiones de CO2 por unidad de valor añadido,España,0.27
2013,Emisiones de CO2 por unidad de valor añadido,España,0.25
2014,Emisiones de CO2 por unidad de valor añadido,España,0.25
2015,Emisiones de CO2 por unidad de valor añadido,España,0.26
2016,Emisiones de CO2 por unidad de valor añadido,España,0.24
2017,Emisiones de CO2 por unidad de valor añadido,España,0.25
2018,Emisiones de CO2 por unidad de valor añadido,España,0.24
2019,Emisiones de CO2 por unidad de valor añadido,España,0.22
2010,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.43
2011,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.41
2012,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.42
2013,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.39
2014,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.39
2015,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.39
2016,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.38
2017,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.39
2018,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.38
2019,Emisiones de CO2 por unidad de valor añadido,Cantabria,0.37
2010,Emisiones de CO2 por unidad de valor añadido,España,0.68
2011,Emisiones de CO2 por unidad de valor añadido,España,0.65
2012,Emisiones de CO2 por unidad de valor añadido,España,0.68
2013,Emisiones de CO2 por unidad de valor añadido,España,0.64
2014,Emisiones de CO2 por unidad de valor añadido,España,0.62
2015,Emisiones de CO2 por unidad de valor añadido,España,0.61
2016,Emisiones de CO2 por unidad de valor añadido,España,0.59
2017,Emisiones de CO2 por unidad de valor añadido,España,0.59
2018,Emisiones de CO2 por unidad de valor añadido,España,0.61
2019,Emisiones de CO2 por unidad de valor añadido,España,0.57
2010,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.63
2011,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.53
2012,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.6
2013,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.5
2014,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.42
2015,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.42
2016,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.44
2017,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.44
2018,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.37
2019,Emisiones de CO2 por unidad de valor añadido,Cantabria,1.62
2010,Emisiones de CO2 por unidad de valor añadido,España,22.79
2011,Emisiones de CO2 por unidad de valor añadido,España,23.16
2012,Emisiones de CO2 por unidad de valor añadido,España,20.66
2013,Emisiones de CO2 por unidad de valor añadido,España,9.31
2014,Emisiones de CO2 por unidad de valor añadido,España,10.33
2015,Emisiones de CO2 por unidad de valor añadido,España,17.52
2016,Emisiones de CO2 por unidad de valor añadido,España,12.79
2017,Emisiones de CO2 por unidad de valor añadido,España,18.79
2018,Emisiones de CO2 por unidad de valor añadido,España,16.66
2019,Emisiones de CO2 por unidad de valor añadido,España,8.78
2010,Emisiones de CO2 por unidad de valor añadido,Cantabria,62.78
2011,Emisiones de CO2 por unidad de valor añadido,Cantabria,49.35
2012,Emisiones de CO2 por unidad de valor añadido,Cantabria,49.57
2013,Emisiones de CO2 por unidad de valor añadido,Cantabria,35.08
2014,Emisiones de CO2 por unidad de valor añadido,Cantabria,37.04
2015,Emisiones de CO2 por unidad de valor añadido,Cantabria,38.21
2016,Emisiones de CO2 por unidad de valor añadido,Cantabria,37.26
2017,Emisiones de CO2 por unidad de valor añadido,Cantabria,45.3
2018,Emisiones de CO2 por unidad de valor añadido,Cantabria,51.52
2019,Emisiones de CO2 por unidad de valor añadido,Cantabria,53.37
2010,Emisiones de CO2 por unidad de valor añadido,España,-23.21
2011,Emisiones de CO2 por unidad de valor añadido,España,-22.98
2012,Emisiones de CO2 por unidad de valor añadido,España,-24.54
2013,Emisiones de CO2 por unidad de valor añadido,España,-31.64
2014,Emisiones de CO2 por unidad de valor añadido,España,-31.0
2015,Emisiones de CO2 por unidad de valor añadido,España,-26.51
2016,Emisiones de CO2 por unidad de valor añadido,España,-29.46
2017,Emisiones de CO2 por unidad de valor añadido,España,-25.71
2018,Emisiones de CO2 por unidad de valor añadido,España,-27.04
2019,Emisiones de CO2 por unidad de valor añadido,España,-31.97
2010,Emisiones de CO2 por unidad de valor añadido,Cantabria,-7.7
2011,Emisiones de CO2 por unidad de valor añadido,Cantabria,-15.31
2012,Emisiones de CO2 por unidad de valor añadido,Cantabria,-15.19
2013,Emisiones de CO2 por unidad de valor añadido,Cantabria,-23.41
2014,Emisiones de CO2 por unidad de valor añadido,Cantabria,-22.3
2015,Emisiones de CO2 por unidad de valor añadido,Cantabria,-21.63
2016,Emisiones de CO2 por unidad de valor añadido,Cantabria,-22.17
2017,Emisiones de CO2 por unidad de valor añadido,Cantabria,-17.61
2018,Emisiones de CO2 por unidad de valor añadido,Cantabria,-14.08
2019,Emisiones de CO2 por unidad de valor añadido,Cantabria,-13.03
