Year,Serie,RefArea,Value
2013,Proporción de personas de 16 años y más que se sienten seguras al caminar solas en su zona de residencia,España,78.28
2010,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,13.06
2011,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,10.83
2012,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,10.16
2013,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,14.24
2014,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,11.89
2015,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,9.97
2016,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,10.3
2017,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,8.67
2018,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,10.89
2019,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,11.61
2020,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,14.09
2023,Proporción de personas que viven en una zona con problemas de delincuencia o vandalismo,España,13.6
