Year,Serie,RefArea,Value
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.14
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.18
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.32
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.46
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.6
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.51
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.58
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.64
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.53
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.61
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.16
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.16
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.45
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,
