Year,Serie,RefArea,Value
2010,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,92.3
2011,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,92.79
2012,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,94.38
2013,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,94.18
2014,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,95.01
2015,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,95.45
2017,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,96.16
2019,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,96.92
2020,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,98.89
2021,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,99.17
2022,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,99.25
2023,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,99.18
2024,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,0.0
2024,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,0.0
2010,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,92.18
2011,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,92.19
2012,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,94.1
2013,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,94.35
2014,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,95.33
2015,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,95.52
2017,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,96.11
2019,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,97.12
2020,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,98.91
2021,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,99.23
2022,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,99.29
2023,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,99.14
2024,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,0.0
2024,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,0.0
2010,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,92.41
2011,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,93.38
2012,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,94.65
2013,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,94.01
2014,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,94.68
2015,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,95.38
2017,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,96.21
2019,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,96.73
2020,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,98.86
2021,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,99.12
2022,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,99.21
2023,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,99.23
2024,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,0.0
2024,Proporción de hombres entre 16 y 74 años que utilizan el teléfono móvil,España,0.0
