Year,Serie,RefArea,Value
2010,Número de líneas de banda ancha fija por cada 100 habitantes,España,22.91
2011,Número de líneas de banda ancha fija por cada 100 habitantes,España,23.92
2012,Número de líneas de banda ancha fija por cada 100 habitantes,España,24.6
2013,Número de líneas de banda ancha fija por cada 100 habitantes,España,26.21
2014,Número de líneas de banda ancha fija por cada 100 habitantes,España,27.97
2015,Número de líneas de banda ancha fija por cada 100 habitantes,España,29.17
2016,Número de líneas de banda ancha fija por cada 100 habitantes,España,30.4
2017,Número de líneas de banda ancha fija por cada 100 habitantes,España,31.55
2018,Número de líneas de banda ancha fija por cada 100 habitantes,España,32.54
2019,Número de líneas de banda ancha fija por cada 100 habitantes,España,33.28
2020,Número de líneas de banda ancha fija por cada 100 habitantes,España,34.21
2021,Número de líneas de banda ancha fija por cada 100 habitantes,España,35.18
2022,Número de líneas de banda ancha fija por cada 100 habitantes,España,36.04
2023,Número de líneas de banda ancha fija por cada 100 habitantes,España,37.08
2010,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,18.1
2011,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,18.68
2012,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,19.01
2013,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,19.98
2014,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,19.36
2015,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,16.53
2016,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,13.62
2017,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,10.87
2018,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,8.03
2019,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,5.52
2020,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,3.86
2021,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,2.67
2022,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,1.77
2023,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,1.02
2010,Número de líneas de banda ancha fija con tecnología de acceso HFC por cada 100 habitantes,España,4.42
2011,Número de líneas de banda ancha fija con tecnología de acceso HFC por cada 100 habitantes,España,4.61
2012,Número de líneas de banda ancha fija con tecnología de acceso HFC por cada 100 habitantes,España,4.62
