Year,Serie,RefArea,Value
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.0
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.0
